record,start_s,end_s,stage,label_2class,EEG_stage,EEG_conf,Sleep_detect,Sleep_W_prob,Final_stage,RuleApplied
slp01a,0.004,30.004,4,Sleep,N3,0.9966666666666667,Sleep,0.3070715089163681,N3,0
slp01a,30.0,60.0,4,Sleep,N3,0.92,Sleep,0.3506398957759211,N3,0
slp01a,60.0,90.0,4,Sleep,N3,0.9566666666666667,Sleep,0.3185068745729184,N3,0
slp01a,90.0,120.0,4,Sleep,N3,0.9733333333333334,W,0.5846316705307862,N3,0
slp01a,120.0,150.0,4,Sleep,N3,1.0,W,0.7089567929395147,N3,0
slp01a,150.0,180.0,4,Sleep,N3,0.9966666666666667,Sleep,0.31543348493991935,N3,0
slp01a,180.0,210.0,4,Sleep,N3,0.9833333333333333,Sleep,0.4096137042168245,N3,0
slp01a,210.0,240.0,4,Sleep,N3,0.9933333333333333,Sleep,0.39213400022124517,N3,0
slp01a,240.0,270.0,4,Sleep,N3,0.9833333333333333,W,0.6103288405090134,N3,0
slp01a,270.0,300.0,4,Sleep,N3,1.0,W,0.659395079292454,N3,0
slp01a,300.0,330.0,4,Sleep,N3,0.9133333333333333,Sleep,0.3327750518007662,N3,0
slp01a,330.0,360.0,4,Sleep,N3,0.85,W,0.5542157231816514,N3,0
slp01a,360.0,390.0,3,Sleep,N3,0.75,Sleep,0.3047680570309495,N3,0
slp01a,390.0,420.0,3,Sleep,N3,0.7866666666666666,Sleep,0.24999011583973166,N3,0
slp01a,420.0,450.0,3,Sleep,N3,0.6566666666666666,Sleep,0.2444112729592428,N3,0
slp01a,450.0,480.0,2,Sleep,2,0.9733333333333334,W,0.7151069188416876,2,0
slp01a,480.0,510.0,2,Sleep,2,0.92,Sleep,0.24286467542824391,2,0
slp01a,510.0,540.0,2,Sleep,2,0.9366666666666666,Sleep,0.23428925766100206,2,0
slp01a,540.0,570.0,3,Sleep,N3,0.9666666666666667,Sleep,0.27562522597064737,N3,0
slp01a,570.0,600.0,3,Sleep,N3,0.7333333333333333,Sleep,0.34369323554861697,N3,0
slp01a,600.0,630.0,3,Sleep,N3,0.7533333333333333,Sleep,0.2400281223218692,N3,0
slp01a,630.0,660.0,3,Sleep,N3,0.96,W,0.59954800638102,N3,0
slp01a,660.0,690.0,3,Sleep,N3,0.9233333333333333,Sleep,0.2832200834353018,N3,0
slp01a,690.0,720.0,3,Sleep,N3,0.9766666666666667,W,0.6711741305222864,N3,0
slp01a,720.0,750.0,3,Sleep,N3,1.0,W,0.6449830077581686,N3,0
slp01a,750.0,780.0,3,Sleep,N3,0.99,Sleep,0.35755720690506215,N3,0
slp01a,780.0,810.0,3,Sleep,N3,0.9966666666666667,W,0.6194009965378345,N3,0
slp01a,810.0,840.0,3,Sleep,N3,0.8333333333333334,W,0.768286771446886,N3,0
slp01a,840.0,870.0,3,Sleep,N3,0.97,W,0.7405203021802212,N3,0
slp01a,870.0,900.0,4,Sleep,N3,0.9966666666666667,Sleep,0.2982076481357351,N3,0
slp01a,900.0,930.0,4,Sleep,N3,1.0,W,0.5736439739398254,N3,0
slp01a,930.0,960.0,4,Sleep,N3,1.0,Sleep,0.3037252989648892,N3,0
slp01a,960.0,990.0,4,Sleep,N3,0.9966666666666667,W,0.5078829447860869,N3,0
slp01a,990.0,1020.0,4,Sleep,N3,1.0,W,0.6590085178322401,N3,0
slp01a,1020.0,1050.0,4,Sleep,N3,1.0,W,0.5767555637087978,N3,0
slp01a,1050.0,1080.0,4,Sleep,N3,0.9966666666666667,W,0.618674692142249,N3,0
slp01a,1080.0,1110.0,4,Sleep,N3,0.9333333333333333,W,0.54744129346557,N3,0
slp01a,1110.0,1140.0,4,Sleep,N3,1.0,Sleep,0.36785606209843597,N3,0
slp01a,1140.0,1170.0,4,Sleep,N3,1.0,Sleep,0.3423595092929916,N3,0
slp01a,1170.0,1200.0,3,Sleep,N3,0.97,Sleep,0.4796308453017625,N3,0
slp01a,1200.0,1230.0,3,Sleep,N3,0.62,W,0.7022824857920609,N3,0
slp01a,1230.0,1260.0,3,Sleep,N3,0.9633333333333334,W,0.7689839763498397,N3,0
slp01a,1260.0,1290.0,3,Sleep,N3,0.7066666666666667,Sleep,0.3445516775048901,N3,0
slp01a,1290.0,1320.0,2,Sleep,2,0.8633333333333333,Sleep,0.38869257155091486,2,0
slp01a,1320.0,1350.0,3,Sleep,N3,0.9033333333333333,W,0.696641380689252,N3,0
slp01a,1350.0,1380.0,2,Sleep,2,0.8533333333333334,W,0.6213480704681505,2,0
slp01a,1380.0,1410.0,2,Sleep,2,0.9266666666666666,W,0.6454849839977472,2,0
slp01a,1410.0,1440.0,2,Sleep,2,0.92,W,0.5938445576234677,2,0
slp01a,1440.0,1470.0,2,Sleep,2,0.9533333333333334,Sleep,0.35084400067562094,2,0
slp01a,1470.0,1500.0,2,Sleep,2,0.9066666666666666,Sleep,0.4915589357939831,2,0
slp01a,1500.0,1530.0,2,Sleep,2,0.94,Sleep,0.35612818437532134,2,0
slp01a,1530.0,1560.0,2,Sleep,2,0.81,Sleep,0.3410118075647699,2,0
slp01a,1560.0,1590.0,2,Sleep,2,0.7566666666666667,W,0.7422811885707096,2,0
slp01a,1590.0,1620.0,2,Sleep,2,0.9266666666666666,W,0.789033372206887,2,0
slp01a,1620.0,1650.0,2,Sleep,2,0.97,Sleep,0.4232035812705361,2,0
slp01a,1650.0,1680.0,2,Sleep,2,0.8666666666666667,Sleep,0.37030718496245646,2,0
slp01a,1680.0,1710.0,2,Sleep,2,0.9733333333333334,Sleep,0.3525640120218103,2,0
slp01a,1710.0,1740.0,2,Sleep,2,0.9433333333333334,W,0.5713271282607397,2,0
slp01a,1740.0,1770.0,2,Sleep,2,0.6433333333333333,W,0.5636510592093154,2,0
slp01a,1770.0,1800.0,2,Sleep,2,0.92,W,0.7171100607174331,2,0
slp01a,1800.0,1830.0,2,Sleep,2,0.83,W,0.7666775755238365,2,0
slp01a,1830.0,1860.0,2,Sleep,2,0.9366666666666666,Sleep,0.3481534803324302,2,0
slp01a,1860.0,1890.0,2,Sleep,2,0.9533333333333334,Sleep,0.43022348872523775,2,0
slp01a,1890.0,1920.0,W,W,2,0.7566666666666667,W,0.6535247711802389,2,0
slp01a,1920.0,1950.0,1,Sleep,1,0.7666666666666667,Sleep,0.39530826198351854,1,0
slp01a,1950.0,1980.0,2,Sleep,2,0.85,Sleep,0.33272191874745116,2,0
slp01a,1980.0,2010.0,2,Sleep,2,0.9666666666666667,W,0.6604092570068998,2,0
slp01a,2010.0,2040.0,2,Sleep,2,0.5633333333333334,W,0.5852440661301601,2,0
slp01a,2040.0,2070.0,2,Sleep,2,0.92,W,0.6516936601988755,2,0
slp01a,2070.0,2100.0,2,Sleep,2,0.7066666666666667,W,0.65931556931998,2,0
slp01a,2100.0,2130.0,2,Sleep,2,0.88,W,0.8502124512885356,2,0
slp01a,2130.0,2160.0,2,Sleep,2,0.86,Sleep,0.4355615571607791,2,0
slp01a,2160.0,2190.0,W,W,W,0.4033333333333333,W,0.613362605970925,W,0
slp01a,2190.0,2220.0,W,W,W,0.7566666666666667,Sleep,0.41377505665551856,W,0
slp01a,2220.0,2250.0,2,Sleep,2,0.7766666666666666,Sleep,0.34754980918300193,2,0
slp01a,2250.0,2280.0,2,Sleep,2,0.9666666666666667,Sleep,0.3882945433776462,2,0
slp01a,2280.0,2310.0,2,Sleep,2,0.97,Sleep,0.31447401624954074,2,0
slp01a,2310.0,2340.0,2,Sleep,2,0.8966666666666666,W,0.6268185217763655,2,0
slp01a,2340.0,2370.0,2,Sleep,2,0.9866666666666667,Sleep,0.4872866169298693,2,0
slp01a,2370.0,2400.0,2,Sleep,2,0.9633333333333334,W,0.5180325598716129,2,0
slp01a,2400.0,2430.0,2,Sleep,2,0.84,W,0.5349338364271714,2,0
slp01a,2430.0,2460.0,2,Sleep,2,0.8666666666666667,W,0.5113971460295036,2,0
slp01a,2460.0,2490.0,2,Sleep,2,0.9533333333333334,W,0.5035213866649928,2,0
slp01a,2490.0,2520.0,2,Sleep,2,0.8966666666666666,W,0.6902230337904564,2,0
slp01a,2520.0,2550.0,2,Sleep,2,0.97,W,0.5143633363284748,2,0
slp01a,2550.0,2580.0,2,Sleep,2,0.8466666666666667,W,0.5049456950741178,2,0
slp01a,2580.0,2610.0,2,Sleep,2,0.8133333333333334,Sleep,0.48157890967997985,2,0
slp01a,2610.0,2640.0,2,Sleep,2,0.9133333333333333,W,0.5961339713516258,2,0
slp01a,2640.0,2670.0,2,Sleep,2,0.96,Sleep,0.4971702832290009,2,0
slp01a,2670.0,2700.0,2,Sleep,2,0.86,W,0.654057082960824,2,0
slp01a,2700.0,2730.0,2,Sleep,2,0.9833333333333333,W,0.5194386073565695,2,0
slp01a,2730.0,2760.0,2,Sleep,2,0.9266666666666666,W,0.6519857553393926,2,0
slp01a,2760.0,2790.0,2,Sleep,2,0.69,W,0.5965829788354775,2,0
slp01a,2790.0,2820.0,3,Sleep,N3,0.76,W,0.6388259823330713,N3,0
slp01a,2820.0,2850.0,3,Sleep,N3,0.9666666666666667,W,0.5678333851508922,N3,0
slp01a,2850.0,2880.0,3,Sleep,N3,0.88,W,0.6683253581102647,N3,0
slp01a,2880.0,2910.0,3,Sleep,N3,0.98,W,0.6443120543865865,N3,0
slp01a,2910.0,2940.0,3,Sleep,N3,0.8866666666666667,W,0.5422689959965166,N3,0
slp01a,2940.0,2970.0,3,Sleep,N3,0.7366666666666667,W,0.843910552461702,N3,0
slp01a,2970.0,3000.0,3,Sleep,N3,0.9766666666666667,W,0.5801179510391096,N3,0
slp01a,3000.0,3030.0,3,Sleep,N3,0.98,W,0.7036019362925039,N3,0
slp01a,3030.0,3060.0,3,Sleep,N3,0.9966666666666667,W,0.7234062662482263,N3,0
slp01a,3060.0,3090.0,3,Sleep,N3,0.8566666666666667,Sleep,0.3533161894979925,N3,0
slp01a,3090.0,3120.0,3,Sleep,N3,0.8933333333333333,Sleep,0.3127384112793519,N3,0
slp01a,3120.0,3150.0,3,Sleep,N3,0.9166666666666666,W,0.7800724347457749,N3,0
slp01a,3150.0,3180.0,3,Sleep,N3,1.0,W,0.7610763697465678,N3,0
slp01a,3180.0,3210.0,3,Sleep,N3,1.0,Sleep,0.34537765846650736,N3,0
slp01a,3210.0,3240.0,3,Sleep,N3,0.9966666666666667,W,0.6319772496454076,N3,0
slp01a,3240.0,3270.0,3,Sleep,N3,1.0,Sleep,0.3714527543570551,N3,0
slp01a,3270.0,3300.0,4,Sleep,N3,0.95,W,0.6302270284535968,N3,0
slp01a,3300.0,3330.0,3,Sleep,N3,0.79,Sleep,0.3077725167027432,N3,0
slp01a,3330.0,3360.0,3,Sleep,N3,0.8866666666666667,Sleep,0.332284544113222,N3,0
slp01a,3360.0,3390.0,3,Sleep,N3,0.9133333333333333,Sleep,0.3224566211980246,N3,0
slp01a,3390.0,3420.0,3,Sleep,N3,0.95,Sleep,0.3643361869233381,N3,0
slp01a,3420.0,3450.0,4,Sleep,N3,0.9966666666666667,W,0.6602587681130976,N3,0
slp01a,3450.0,3480.0,4,Sleep,N3,1.0,W,0.5157728306386449,N3,0
slp01a,3480.0,3510.0,4,Sleep,N3,0.9966666666666667,W,0.7445491242562837,N3,0
slp01a,3510.0,3540.0,4,Sleep,N3,0.9966666666666667,W,0.8217402578910974,N3,0
slp01a,3540.0,3570.0,4,Sleep,N3,1.0,Sleep,0.3138415138804975,N3,0
slp01a,3570.0,3600.0,4,Sleep,N3,0.96,Sleep,0.292161860560347,N3,0
slp01a,3600.0,3630.0,4,Sleep,N3,1.0,W,0.6923227278886133,N3,0
slp01a,3630.0,3660.0,4,Sleep,N3,0.9966666666666667,Sleep,0.3851157314642272,N3,0
slp01a,3660.0,3690.0,4,Sleep,N3,0.9866666666666667,Sleep,0.28797470157115507,N3,0
slp01a,3690.0,3720.0,4,Sleep,N3,1.0,W,0.5388170118508077,N3,0
slp01a,3720.0,3750.0,4,Sleep,N3,0.9833333333333333,W,0.5229941446077041,N3,0
slp01a,3750.0,3780.0,4,Sleep,N3,1.0,W,0.6920260754421156,N3,0
slp01a,3780.0,3810.0,4,Sleep,N3,0.9666666666666667,W,0.6451207170076116,N3,0
slp01a,3810.0,3840.0,4,Sleep,N3,1.0,W,0.596225931508178,N3,0
slp01a,3840.0,3870.0,4,Sleep,N3,1.0,W,0.6960385454663817,N3,0
